"","Categorie","Forme","Gender","Marque","Material Fond","Material Front","Structure","Taille","Taille Temple","year"
"1","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"2","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"3","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"4","Lunettes de Soleil","PANTHOS ( TEA CUP )","UNISEX AD","CARRERA","STEEL","STEEL","FULL-RIM",50,145,2015
"5","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"6","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE","FULL-RIM",55,145,2016
"7","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","ACETATE","ACETATE","FULL-RIM",55,145,2016
"8","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"9","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"10","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"11","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"12","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"13","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
"14","Lunettes de Soleil","RECTANGULAR / SQUARE","UNISEX AD","CARRERA","METAL","ACETATE METAL","FULL-RIM",55,145,2016
